QLIK_SITE_HOURLY_COMBOAVAIL_ID,DATE,MARKETS_ID,SITE_ID,COMBO_AVAIL,TOTAL_AVAIL_TIME_LTE,TOTAL_DOWNTIME_LTE,SECTOR_COUNT_LTE,TOTAL_AVAIL_TIME_UMTS,TOTAL_DOWNTIME_UMTS,SECTOR_COUNT_UMTS,TOTAL_DOWNTIME_GSM,TOTAL_AVAIL_TIME_GSM,SECTOR_COUNT_GSM,TOTAL_DOWNTIME_5G,TOTAL_AVAIL_TIME_5G,SECTOR_COUNT_5G,ETL_CREATED_BY,ETL_CREATED_DT,ETL_MODIFIED_BY,ETL_MODIFIED_DT
48518346758,2026-03-05 19:00:00.000,Mobile,NO0157RA,1.0000000,14400,0,4,0,0,0,0,0,0,0,14400,4,20260306040344,2026-03-06 04:51:22.111,20260306050351,2026-03-06 05:48:23.082
48518384898,2026-03-05 17:00:00.000,Mobile,NO0157RA,1.0000000,14400,0,4,0,0,0,0,0,0,0,14400,4,20260306040344,2026-03-06 04:51:22.111,20260306040344,2026-03-06 04:51:22.111
48518391575,2026-03-05 16:00:00.000,Mobile,NO0157RA,1.0000000,14400,0,4,0,0,0,0,0,0,0,14400,4,20260306040344,2026-03-06 04:51:22.111,20260306040344,2026-03-06 04:51:22.111
48522597427,2026-03-05 20:00:00.000,Mobile,NO0157RA,1.0000000,14400,0,4,0,0,0,0,0,0,0,14400,4,20260306050351,2026-03-06 05:48:23.082,20260306080346,2026-03-06 08:48:38.512
48522557357,2026-03-05 21:00:00.000,Mobile,NO0157RA,1.0000000,14400,0,4,0,0,0,0,0,0,0,14400,4,20260306050351,2026-03-06 05:48:23.082,20260306080346,2026-03-06 08:48:38.512
48474369685,2026-03-05 09:00:00.000,Mobile,NO0157RA,1.0000000,14400,0,4,0,0,0,0,0,0,0,14400,4,20260305170338,2026-03-05 17:50:04.678,20260305180340,2026-03-05 18:52:51.753
48474413031,2026-03-05 08:00:00.000,Mobile,NO0157RA,1.0000000,14400,0,4,0,0,0,0,0,0,0,14400,4,20260305170338,2026-03-05 17:50:04.678,20260305170338,2026-03-05 17:50:04.678
48471220337,2026-03-05 06:00:00.000,Mobile,NO0157RA,1.0000000,14400,0,4,0,0,0,0,0,0,0,14400,4,20260305160356,2026-03-05 16:52:01.315,20260305160356,2026-03-05 16:52:01.315
48471178329,2026-03-05 07:00:00.000,Mobile,NO0157RA,1.0000000,14400,0,4,0,0,0,0,0,0,0,14400,4,20260305160356,2026-03-05 16:52:01.315,20260305170338,2026-03-05 17:50:04.678
48510098270,2026-03-05 18:00:00.000,Mobile,NO0157RA,1.0000000,14400,0,4,0,0,0,0,0,0,0,14400,4,20260306020345,2026-03-06 02:48:51.842,20260306040344,2026-03-06 04:51:22.111
48464964564,2026-03-05 05:00:00.000,Mobile,NO0157RA,1.0000000,14400,0,4,0,0,0,0,0,0,0,14400,4,20260305140313,2026-03-05 14:50:46.311,20260305140313,2026-03-05 14:50:46.311
